date,mood,productivity,sleep_hours,screen_time,wellness_score,micro_habit
2025-05-05,😐,4,6.0,11.5,3.9,Meditation for 5 mins 🧘
2025-05-05,🙂,6,5.0,9.0,5.2,Write one thing you're grateful for ✍️
